Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,147.169998,147.639999,145.020004,145.649994,132.980026,5266100
2021-05-12,144.880005,145.740005,143.850006,144.229996,131.683548,5651700
2021-05-13,144.240005,147.119995,143.580002,146.369995,133.637405,4849400
2021-05-14,147.199997,147.899994,146.419998,146.589996,133.838287,4224700
2021-05-17,147.000000,147.399994,145.710007,146.169998,133.454834,3747100
2021-05-18,146.639999,146.949997,145.320007,145.509995,132.852219,4527300
2021-05-19,144.639999,145.630005,144.080002,145.429993,132.779190,4432700
2021-05-20,145.250000,147.729996,145.110001,147.229996,134.422592,3964600
2021-05-21,147.869995,148.309998,146.520004,147.100006,134.303894,5194200
2021-05-24,147.639999,148.350006,147.009995,147.850006,134.988647,3627800
2021-05-25,147.850006,148.369995,147.009995,148.300003,135.399551,4649300
2021-05-26,147.910004,148.669998,147.679993,148.300003,135.399551,4462600
2021-05-27,148.559998,148.770004,146.440002,146.509995,133.765213,9203600
2021-05-28,147.410004,148.500000,147.240005,147.940002,135.070862,4913700
2021-06-01,148.779999,148.850006,147.089996,147.630005,134.787827,5530300
2021-06-02,148.199997,148.529999,147.229996,148.220001,135.326508,4546900
2021-06-03,146.710007,147.759995,146.160004,147.669998,135.809280,4651600
2021-06-04,148.000000,148.589996,147.470001,147.839996,135.965698,4427400
2021-06-07,147.759995,148.250000,146.710007,147.750000,135.882904,4724100
2021-06-08,147.699997,147.869995,145.919998,146.369995,134.613739,5997200
2021-06-09,147.250000,147.589996,146.020004,146.100006,134.365433,4008000
2021-06-10,146.309998,148.009995,146.130005,147.600006,135.744980,4698200
2021-06-11,148.050003,148.119995,146.789993,147.690002,135.827728,4364600
2021-06-14,147.470001,148.630005,146.789993,148.570007,136.637039,3831900
2021-06-15,148.899994,149.169998,148.070007,148.580002,136.646225,4256500
2021-06-16,148.860001,149.270004,146.750000,147.100006,135.285095,5492100
2021-06-17,147.250000,149.000000,146.910004,148.520004,136.591064,5316400
2021-06-18,147.979996,147.979996,145.229996,145.419998,133.740021,10661700
2021-06-21,145.750000,146.740005,145.449997,146.559998,134.788483,4904300
2021-06-22,146.729996,147.500000,146.289993,146.779999,134.990784,3518000
2021-06-23,146.059998,146.130005,144.830002,144.850006,133.215836,3901700
2021-06-24,144.860001,145.940002,144.610001,145.669998,133.969986,3818900
2021-06-25,145.759995,146.789993,145.240005,146.410004,134.650528,6387600
2021-06-28,146.759995,147.589996,146.619995,147.039993,135.229904,4282800
2021-06-29,147.449997,147.699997,146.399994,146.940002,135.137970,3197700
2021-06-30,147.429993,148.309998,147.199997,148.169998,136.269135,4943700
2021-07-01,148.080002,149.080002,147.940002,148.199997,136.296722,3997600
2021-07-02,148.899994,149.779999,148.559998,148.910004,136.949738,3835500
2021-07-06,149.070007,149.419998,147.770004,149.130005,137.152054,4313800
2021-07-07,149.289993,150.699997,149.000000,149.789993,137.759064,4225000
2021-07-08,149.419998,150.669998,149.190002,149.860001,137.823425,4216000
2021-07-09,149.410004,150.309998,149.169998,149.479996,137.473923,4088600
2021-07-12,149.490005,149.789993,148.779999,149.509995,137.501526,4873700
2021-07-13,151.149994,153.910004,150.750000,152.960007,140.674454,8750800
2021-07-14,152.889999,155.139999,152.800003,154.539993,142.127518,6390300
2021-07-15,154.070007,155.360001,153.259995,155.250000,142.780502,4920600
2021-07-16,155.679993,156.839996,155.110001,155.820007,143.304733,5852500
2021-07-19,155.990005,157.539993,154.759995,155.800003,143.286331,5750200
2021-07-20,156.199997,157.330002,155.559998,155.820007,143.304733,5213500
2021-07-21,155.300003,156.119995,154.570007,155.240005,142.771317,4905900
2021-07-22,155.190002,155.759995,153.970001,155.190002,142.725327,3333500
2021-07-23,155.559998,157.789993,155.240005,157.179993,144.555496,3588400
